,FileName,VID,DirName,title,vod_filename,zh_srt,ar_srt,en_srt,level,audio_ratio
0,huoshan/短剧/8233-被偷走爱的那十年（43集）/7.mp4,v0d32eg10064ct2sjhaljht0lktqi3i0,,7,d694af6a-e421-4f70-9f9c-e87428d342ff.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjhaljht0lktqi3i0_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjhaljht0lktqi3i0_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjhaljht0lktqi3i0_English.srt,HSK3,0.3627063257333867
1,huoshan/短剧/8233-被偷走爱的那十年（43集）/41.mp4,v0332eg10064ct2sjiiljhtfkbcagc6g,,41,6ab0136e-98f5-43e1-874a-e8058f7d7c70.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjiiljhtfkbcagc6g_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjiiljhtfkbcagc6g_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjiiljhtfkbcagc6g_English.srt,HSK3,0.48518197702466603
2,huoshan/短剧/8233-被偷走爱的那十年（43集）/40.mp4,v0232eg10064ct2sjjaljhtb9tp0pdcg,,40,fffe8018-ce66-40f1-b863-c2075ad98768.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjjaljhtb9tp0pdcg_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjjaljhtb9tp0pdcg_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjjaljhtb9tp0pdcg_English.srt,HSK3,0.41731366459627334
3,huoshan/短剧/8233-被偷走爱的那十年（43集）/6.mp4,v0d32eg10064ct2sjjqljht60aaulia0,,6,9621919a-3872-4965-9009-5eb2de614071.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjjqljht60aaulia0_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjjqljht60aaulia0_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjjqljht60aaulia0_English.srt,HSK3,0.4765137445852269
4,huoshan/短剧/8233-被偷走爱的那十年（43集）/42.mp4,v0332eg10064ct2sjkqljht3unc11fdg,,42,16f4de0a-be5d-40c8-a932-418028b54f53.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjkqljht3unc11fdg_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjkqljht3unc11fdg_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjkqljht3unc11fdg_English.srt,HSK3,0.5076433982683983
5,huoshan/短剧/8233-被偷走爱的那十年（43集）/4.mp4,v0232eg10064ct2sjliljht676rf4ib0,,4,4c410e37-a8b0-4e43-b369-b5ef51abc28b.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjliljht676rf4ib0_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjliljht676rf4ib0_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjliljht676rf4ib0_English.srt,HSK3,0.38924655745833475
6,huoshan/短剧/8233-被偷走爱的那十年（43集）/5.mp4,v0d32eg10064ct2sjmaljht0lktqi3lg,,5,01317430-50e6-49d6-bbdb-1861ae26c684.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjmaljht0lktqi3lg_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjmaljht0lktqi3lg_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjmaljht0lktqi3lg_English.srt,HSK3,0.46821550741163065
7,huoshan/短剧/8233-被偷走爱的那十年（43集）/43.mp4,v0332eg10064ct2sjnaljhte03cgru1g,,43,e39d3e89-5567-4d00-beb7-4441a599c1a3.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjnaljhte03cgru1g_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjnaljhte03cgru1g_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0332eg10064ct2sjnaljhte03cgru1g_English.srt,HSK3,0.4146191646191645
8,huoshan/短剧/8233-被偷走爱的那十年（43集）/1.mp4,v0232eg10064ct2sjnqljhtboopas5d0,,1,b8dd2752-de93-4d70-b0e0-aca53d5ff38a.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjnqljhtboopas5d0_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjnqljhtboopas5d0_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0232eg10064ct2sjnqljhtboopas5d0_English.srt,HSK3,0.33855651735961106
9,huoshan/短剧/8233-被偷走爱的那十年（43集）/2.mp4,v0d32eg10064ct2sjoqljhtd7u6b6vpg,,2,9f346e4e-d366-43a0-961a-ba09b8b27f25.mp4,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjoqljhtd7u6b6vpg_Chinese.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjoqljhtd7u6b6vpg_Arabic.srt,huoshan\短剧\8233-被偷走爱的那十年（43集）\srt_dir\v0d32eg10064ct2sjoqljhtd7u6b6vpg_English.srt,HSK3,0.3342945265328652
